id,genres,production_companies,cast,crew,production_countries,spoken_languages,year,weekday,month,cast_power,cast_number,crew_number,spoken_languages_number,runtime,popularity,budget,imdb_rating,imdb_votes
3435,Action Adventure Drama,Universal_Pictures Perfect_World_Pictures Roth_Films,Chris_Hemsworth Charlize_Theron Emily_Blunt Jessica_Chastain Nick_Frost Sheridan_Smith Rob_Brydon Alexandra_Roach Sam_Claflin Colin_Morgan Sophie_Cookson Sam_Hazeldine Lynne_Wilmot Alejandro_Cuello Liam_Neeson Sope_Dirisu Conrad_Khan Niamh_Walter Nana_Agyeman-Bediako Amelia_Crouch Fred_Tatasciore Ralph_Ineson Robert_Portal Robert_Wilfort David_Mumeni Kara_Lily_Hayworth Madeleine_Worrall Chinna_Wodu Andrew_Rothney Tim_Delap Antony_Acheampong Ian_Davies George_Watkins Aj_Bediako Sam_Coulson Ryan_Donaldson Osi_Okerafor Maya_Wasowicz Yusuf_Hofri Eshan_Gopal Jadey_Duffield Karl_Farrer,Phedon_Papamichael James_Newton_Howard Joe_Roth Craig_Mazin Evan_Spiliotopoulos Evan_Daugherty Cedric_Nicolas-Troyan,US,en,2016,Wednesday,Apr,119934391.17999996,42,7,1,114.0,17.260203,115000000,6.1,96185
3436,Family Animation,Columbia_Pictures Rovio_Entertainment Sony_Pictures_Imageworks_(SPI) Rovio_Mobile Rovio_Animation,Jason_Sudeikis Josh_Gad Danny_McBride Maya_Rudolph Bill_Hader Peter_Dinklage Sean_Penn Keegan-Michael_Key Kate_McKinnon Tony_Hale Hannibal_Buress Ike_Barinholtz Tituss_Burgess Ian_Hecox Anthony_Padilla Jillian_Bell Billy_Eichner Blake_Shelton Charli_XCX Ali_Wong Mckenna_Grace Ava_Acres Geoffrey_Arend Alex_Borstein Max_Charles Fergal_Reilly Kevin_Bigley Fred_Tatasciore Judah_Friedlander Danielle_Brooks Romeo_Santos Cristela_Alonzo,Kent_Beyda Jon_Vitti Fergal_Reilly John_Cohen Clay_Kaytis Kevin_Webb,FI US,en,2016,Wednesday,May,72882943.03999999,32,6,1,97.0,11.171927,73000000,6.3,78776
3437,Drama War Romance,Compagnia_Cinematografica_Champion Canafox_Films,Sophia_Loren Marcello_Mastroianni John_Vernon Fran√ßoise_Berd Patrizia_Basso Tiziano_De_Persio Maurizio_Di_Paolantonio Antonio_Garibaldi Vittorio_Guerrieri Alessandra_Mussolini Nicole_Magny,Carlo_Ponti Armando_Trovaioli Ruggero_Maccari Ettore_Scola Ettore_Scola Pasqualino_De_Santis Maurizio_Costanzo,CA IT,it,1977,Thursday,Aug,1170415.1300000001,11,7,1,110.0,3.810981,0,8.1,11411
3438,Comedy,Twentieth_Century_Fox_Film_Corporation Simon_Reeves_Landsburg_Productions,Dan_Monahan Wyatt_Knight Mark_Herrier Roger_Wilson Cyril_O'Reilly Tony_Ganios Kaki_Hunter Scott_Colomby Nancy_Parsons Joseph_Runningfox Eric_Christmas Bill_Wiley Edward_Winter Cisse_Cameron Ilse_Earl Art_Hindle Anthony_Pena Rod_Ball Richard_Liberty William_Kerwin,Bob_Clark Bob_Clark Alan_Ormsby Roger_Swaybill,CA US,en,1983,Friday,Jun,7840403.25,20,4,1,98.0,5.269838,6500000,5.1,10722
3439,Adventure Horror Action History,Davis-Films Eskwad TF1_Films_Production Canal+ Studio_Image_Soficas Natexis_Banques_Populaires_Images,Samuel_Le_Bihan Vincent_Cassel √âmilie_Dequenne Monica_Bellucci J√©r√©mie_Renier Mark_Dacascos Jean_Yanne Jean-Fran√ßois_St√©venin Johan_Leysen Jacques_Perrin Bernard_Farcy Edith_Scob Hans_Meyer Virginie_Darmon Philippe_Nahon Nicky_Naude Ga√´lle_Cohen Charles_Maquignon Gaspard_Ulliel Pascal_Laugier Emanuel_Booz,Christophe_Gans St√©phane_Cabel Christophe_Gans Richard_Grandpierre Samuel_Hadida Joseph_LoDuca Dan_Laustsen Xavier_Loutreuil Nathalie_Cheron Brigitte_Moidon Bernard_Savin_Pascaud Dominique_Borg Guy-Claude_Fran√ßois Fran√ßois_Decaux Thierry_Fran√ßois Jacques_Aucomte Denis_Bourgier Catherine_Jarrier-Prieur Jean-Max_Gu√©rin Didier_Lavergne Fr√©d√©rique_Ney Claude_Albouze Arnaud_Denis Francis_Poirier Fabrice_Conesa Philippe_Amouroux Cyril_Holtz Nicolas_Becker Nicolas_Becker Yannick_Boulot Seb_Caudron Val_Wardlaw Arthur_Windus Collette_Nunes Jamie_Courtier Gil_Demurger Richard_Dieux Philippe_Houdart Eric_Bialas Eric_Caro John_Stephenson Randall_Monday Claudine_Strasser Valentine_Traclet Alex_Panagakis,FR,fr de it,2001,Wednesday,Jan,28375370.2,21,45,3,137.0,11.564252,29000000,7.0,62095
3440,Animation Family,Walt_Disney_Pictures Walt_Disney_Animation_Studios,Jim_Cummings Travis_Oates Bud_Luckey Craig_Ferguson Tom_Kenny Kirsten_Anderson-Lopez Wyatt_Hall Jack_Bouleter Huell_Howser John_Cleese,Julio_Macat Bruce_W._Smith Odin_Benitez Peter_Del_Vecho Mike_Gabriel Eric_Goldberg Andreas_Deja Andreas_Deja Robert_St._Pierre A._A._Milne G.W._Brown Albert_Gasser Todd_Toon Dean_A._Zupancic Charles_W._Ritter David_E._Fluhr Mark_Henn Jamie_Sparer_Roberts Stephen_Anderson Stephen_Anderson Don_Hall Don_Hall Henry_Jackman Clio_Chiang Lisa_Linder Kendelle_Hoyer John_Roesch Nik_Ranieri Paul_Briggs Nicole_Mitchell Craig_Sost Marlon_West Alyson_Dee_Moore Donald_J._Malouf Kyle_Rochlin Tighe_Sheldon Bill_Perkins Bert_Klein Anthony_DeRosa Joe_Pitt Jennifer_Yuan Matsune_Suzuki Peter_J._Deluca James_P._Alles Allen_Tam George_Villaflor Kristen_Caplan Doug_Walker Doug_Walker Mael_Gourmelen Frans_Vischer Dale_Baer Paul_Carrera David_Booth Dhumal_Sagar Yogesh_Badhe Kyle_Odermatt Lorelay_Bove Don_Dougherty Don_Dougherty Brian_Kesinger Brian_Kesinger Shiyoon_Kim Charlie_Montoya Jeremy_Spears Jeremy_Spears Mark_Appleby Kaspar_Hugentobler Mary_Jo_Lang Pernell_L._Salinas Tim_Gospodnetich George_Stevens Sarah_Airriess Ruben_A._Aquino Rasoul_Azadani Nam_Suk_Cho Russ_Edmonds Brian_Ferguson Mario_Furmanczyk Jason_Hand Randy_Haycock Lam_Hoang Daniel_Hu Beno√Æt_Le_Pennec Hyun_Min_Lee Jean-Christophe_Poulain Garrett_Prince Cymbre_Walk Melvina_Rapozo,US,en,2011,Wednesday,Apr,31587328.24,10,89,1,63.0,7.3576820000000005,30000000,7.2,21425
3441,Horror Mystery Thriller,Bac_Films Kino_Vision Orly_Films R.P._Productions Vía_Digital Artisan_Entertainment Origen_Producciones_Cinematograficas_S.A. TF1_Films_Production Canal+ Canal+_España,Johnny_Depp Frank_Langella Lena_Olin Emmanuelle_Seigner Barbara_Jefford Jack_Taylor Jos√©_L√≥pez_Rodero James_Russo Willy_Holt Allen_Garfield Tony_Amoni Jacques_Dacqmine Joe_Sheridan Rebecca_Pauly Catherine_Benguigui Maria_Ducceschi Jacques_Collard Dominique_Pozzetto Emanuel_Booz Lino_Ribeiro_de_Sousa Asil_Ra√Øs Bernard_Richier Marinette_Richier,Roman_Polanski Arturo_P√©rez-Reverte John_Brownjohn Roman_Polanski Roman_Polanski Mark_Allan Antonio_Cardenal Michel_Cheyko Wolfgang_Glattes Adam_Kempton I√±aki_N√∫√±ez Alain_Vannier Suzanne_Wiesenfeld Wojciech_Kilar Darius_Khondji Herv√©_de_Luze Howard_Feuer Dean_Tavoularis G√©rard_Viard Philippe_Turlure Anthony_Powell Laura_Stuart Enrique_Urbizu,FR PT ES,en fr la pl pt es,1999,Tuesday,Aug,37873063.56000001,23,23,6,133.0,11.316349,38000000,6.7,164875
3442,Comedy Drama Romance,Underdog_Productions,Joshua_Schaefer Keri_Russell R.D._Robb Mark_L._Taylor Johnny_Green Buck_Kartalian Marcia_Moran Biff_Manard Annie_O'Donnell Patrick_Thomas_O'Brien Darleen_Carr Ernestine_Mercer Van_Epperson Catherine_Hicks,Michael_Davis Martin_Cutler Michael_Davis Gary_Preisler Dale_Rosenbloom Kevin_Bassinson James_Lawrence_Spencer David_Carkhuff Perry_Bullington Robert_MacDonald Chase_Harlan Michael_Davis,US,en,1997,Friday,Jan,7536816.9,14,12,1,92.0,4.515523,0,6.2,2895
3443,Comedy Crime Drama Thriller,Gimme_Five_Films,Alan_Rickman Bryan_Greenberg Mary_Steenburgen Shawn_Hatosy Danny_DeVito Eliza_Dushku Bill_Pullman Ted_Danson Ernie_Hudson Lindy_Booth,Randall_Miller Randall_Miller Jody_Savin,US,en,2007,Saturday,Apr,8548125.26,10,3,1,110.0,2.420823,4000000,6.3,5564
3444,Drama,New_Line_Cinema Jacaranda_Films Investec_Merchant_Bank,Ice_Cube Elizabeth_Hurley Ving_Rhames Thokozani_Nkosi Ron_Smerczak Wilson_Dunster Sechaba_Morojele Peter_Khubeke,Darrell_James_Roodt Greg_Latter Darrell_James_Roodt,US ZA,en pl,1997,Wednesday,Feb,2554960.09,8,3,2,95.0,1.463219,0,4.5,1814
3445,Fantasy Drama Comedy Family,Walt_Disney_Pictures Hollywood_Pictures,Tim_Allen Judge_Reinhold Wendy_Crewson David_Krumholtz Peter_Boyle Eric_Lloyd Paige_Tamada Larry_Brandenburg Jayne_Eastwood Kenny_Vadas Chris_Benson,Michael_Convertino Walt_Lloyd Larry_Bock Jeffrey_Silver Steve_Rudnick Brian_Reilly John_Pasquin Leo_Benvenuti,US,en,1994,Thursday,Nov,15580389.0,11,8,1,97.0,9.665424,22000000,6.5,92615
3446,Comedy Horror,New_Wave_Productions,–Æ–ª–∏—è_–í–æ–ª–∫–æ–≤–∞ Mikhail_Efremov –ê–Ω—Ç–æ–Ω_–ó–∏–Ω–æ–≤—å–µ–≤ –ò—Ä–∏–Ω–∞_–•–∞–Ω—É–Ω–∏–∫-–†–æ–º–±–∞–ª—å—Å–∫–∞—è –ê–ª–µ–∫—Å–∞–Ω–¥—Ä_–ï—Ñ—Ä–µ–º–æ–≤ –î–∞—Ä—å—è_–¢–æ—Ä—á–∏–ª–∏–Ω–∞ –í–∞–ª–µ—Ä–∏–π_–ó–µ–ª–µ–Ω—Å–∫–∏–π,N/A,RU,en ru,2013,Wednesday,Aug,187229.37,7,1,2,95.0,0.918522,0,2.0,402
3447,Drama Comedy Romance,BBC_Films Filmstiftung_Nordrhein-Westfalen X-Filme_Creative_Pool Ealing_Studios Fragile_Films Focus_Features RTL Cougar_Films_Ltd. Minotaur_Film_Partnership_No._3,Piper_Perabo Lena_Headey Matthew_Goode Celia_Imrie Darren_Boyd Sharon_Horgan Sue_Johnston Boo_Jackson Vinette_Robinson Eva_Birthistle Anthony_Stewart_Head Angel_Coulby Ben_Miles Rick_Warden Ruth_Sheen,Eve_Mavrakis Stefan_Arndt Deborah_Aquila Consolata_Boyle Nina_Gold Alex_Heffes Ol_Parker Ol_Parker Andro_Steinborn Alex_Mackie Sophie_Balhetchet Barnaby_Thompson Ben_Davis Richard_Field Rebecca_Alleway Tricia_Wood Dulcie_Scott Sue_Westwood Dale_Manning Caroline_Sax,DE GB US,en,2005,Tuesday,Feb,5699409.899999999,15,20,1,93.0,6.008971,0,6.8,29407
3448,Comedy Drama Romance,Vivendi_Entertainment,Hayden_Christensen Andy_Garc√≠a Rachel_Bilson Natalie_Portman Irrfan_Khan Orlando_Bloom Christina_Ricci Maggie_Q Ethan_Hawke Chris_Cooper Robin_Wright Anton_Yelchin James_Caan Olivia_Thirlby Blake_Lively Drea_de_Matteo Bradley_Cooper Julie_Christie John_Hurt Shia_LaBeouf Taylor_Geare Carlos_Acosta Jacinda_Barrett Ugur_Y√ºcel Shu_Qi Burt_Young Eli_Wallach Cloris_Leachman Emilie_Ohana Eva_Amurri_Martino Justin_Bartha Juri_Henley-Cohn Gurdeep_Singh Emory_Cohen Hayley_Crisp Jordann_Beal Max_Robkoff Nick_Sartori,Natalie_Portman Natalie_Portman Anthony_Minghella Yvan_Attal Jeff_Nathanson Fatih_Akin Fatih_Akin Joshua_Marston Joshua_Marston Mira_Nair Allen_Hughes Randall_Balsmeyer Marina_Grasic Brett_Ratner Israel_Horovitz Emmanuel_Benbihy Shekhar_Kapur Shunji_Iwai Shunji_Iwai Jiang_Wen Olivier_L√©cot Suketu_Mehta,US,cn en fr gu yi,2008,Saturday,Sep,27070824.490000002,38,22,5,103.0,13.825651,14700000,6.2,44480
3449,Drama Western,Paramount_Pictures_Corporation,Alan_Ladd Jean_Arthur Van_Heflin Brandon_De_Wilde Jack_Palance Ben_Johnson Edgar_Buchanan Emile_Meyer Elisha_Cook_Jr. Douglas_Spencer John_Dierkes Ellen_Corby Paul_McVey John_Miller Edith_Evanson Leonard_Strong Ray_Spiker Janice_Carroll Martin_Mason Helen_Brown Nancy_Kulp Ewing_Miles_Brown Bill_Cartledge Chick_Hannan George_J._Lewis Jack_Sterling Henry_Wills Alana_Ladd David_Ladd Howard_Negley Charles_Quirk George_Stevens Beverly_Washburn,George_Stevens Jack_Schaefer A.B._Guthrie_Jr. Jack_Sher Ivan_Moffat George_Stevens Loyal_Griggs William_Hornbeck Tom_McAdoo Hal_Pereira Walter_H._Tyler Victor_Young Henry_Wills Emile_Kuri Edith_Head Wally_Westmore John_R._Coonan Gene_Garvin Harry_Lindgren Farciot_Edouart Gordon_Jennings Irmin_Roberts Vic_Jones Sidney_Cutner John_C._Hammell George_Parrish Leo_Shuken Franz_Waxman,US,en,1953,Thursday,Apr,3583600.8100000005,33,28,1,118.0,6.638160000000001,3100000,7.6,36458
3450,Comedy,Hughes_Entertainment Warner_Bros.,Chevy_Chase Beverly_D'Angelo Randy_Quaid Juliette_Lewis Johnny_Galecki John_Randolph Diane_Ladd E.G._Marshall Doris_Roberts Cody_Burger Ellen_Hamilton_Latzen William_Hickey Mae_Questel Miriam_Flynn Sam_McMurray Nicholas_Guest Julia_Louis-Dreyfus Brian_Doyle-Murray Natalija_Nogulich Nicolette_Scorsese Devin_Bailey Jeremy_Roberts Alexander_Folk Keith_MacKechnie,Jeremiah_S._Chechik John_Hughes John_Hughes Tom_Jacobson Angelo_Badalamenti Thomas_E._Ackerman Gerald_B._Greenberg Michael_A._Stevenson,US,en,1989,Friday,Dec,25068232.659999996,24,8,1,97.0,9.802574,27000000,7.6,148704
3451,War Drama History,Goldcrest_Films_International International_Film_Investors Enigma_Productions,Sam_Waterston Haing_S._Ngor Craig_T._Nelson John_Malkovich Athol_Fugard Julian_Sands Spalding_Gray Bill_Paterson Graham_Kennedy Katherine_Krapum_Chey Oliver_Pierpaoli Edward_Entero_Chey Tom_Bird Monirak_Sisowath Lambool_Dtangpaibool Ira_Wheeler David_Henry Patrick_Malahide Nell_Campbell Joan_Harris Joanna_Merlin Jay_Barney Mark_Long Sayo_Inaba Mow_Leng Chinsaure_Sa Hout_Ming_Tran Thach_Suon Neevy_Pal,Roland_Joff√© Bruce_Robinson David_Puttnam Mike_Oldfield Chris_Menges Jim_Clark Marion_Dougherty Susie_Figgis Pat_Golden Juliet_Taylor Roy_Walker Roger_Murray-Leach Steve_Spence Judy_Moorcroft Iain_Smith,GB,pt en fr hu km,1984,Friday,Nov,20403891.74,29,15,5,141.0,11.460364,14400000,7.8,50813
3452,Drama Romance Science_Fiction,Fox_Searchlight_Pictures DNA_Films Film4,Carey_Mulligan Andrew_Garfield Keira_Knightley Domhnall_Gleeson Andrea_Riseborough Charlotte_Rampling Sally_Hawkins Izzy_Meikle-Small Charlie_Rowe Ella_Purnell Lydia_Wilson Nathalie_Richard Christina_Carrafiell Kate_Bowes_Renna Hannah_Sharp Oliver_Parsons David_Sterne Chidi_Chickwe Monica_Dolan Amy_Lennox Kate_Sissons Luke_Bryant Fidelis_Morgan Damien_Thomas,Tessa_Ross Andrew_Macdonald Alex_Garland Alex_Garland Rachel_Portman Adam_Kimmel Rachael_Fleming Gillian_Dodders Sam_Conway Allon_Reich Mark_Digby Denis_Schnegg Michelle_Day Randall_Poster Kate_Dowd Mark_Romanek Barney_Pilling Kazuo_Ishiguro Kazuo_Ishiguro Richard_Hewitt Joanne_Smith Alex_Bailey George_Drakoulias Frank_Henson Stephen_Noble Lee_Grumett Niv_Adiri Yann_McCullough Julian_Morson Diana_Dill Paul_Cripps Charlotte_Child Layla_Mall,GB US,en,2010,Wednesday,Sep,24243755.26,24,33,1,104.0,8.278794,15000000,7.1,135809
3453,Horror Drama Thriller,Columbia_Pictures Ombra_Films Weimaraner_Republic_Pictures,Blake_Lively √ìscar_Jaenada Angelo_Josue_Lozano_Corzo Jos√©_Manuel_Trujillo_Salas Brett_Cullen Sedona_Legge Pablo_Calva Diego_Espejel Janelle_Bailey Ava_Dean Chelsea_Moody Sully_Seagull,Marco_Beltrami Lynn_Harris Kym_Barrett Hugh_Bateup Joel_Negron Jaume_Collet-Serra Flavio_Mart√≠nez_Labiano Anthony_Jaswinski David_Nelson J.M._Davey Craig_Clarke Chelsea_Staebell Douglas_C._Merrifield Ben_Parkinson Brandon_Jones Nathan_McGuinness Chris_Diebold Chris_Terhune Sarah_Monat Nevin_Seus Simon_Christidis Willard_Overstreet Allan_Magled Gregory_D._Liegey Vince_Valitutti Polly_McKinnon Polly_McKinnon Marc_Spicer Andrew_Conder Scott_E._Anderson Barry_Goch P.K._Hooker Louise_Coulston Carolina_H√§ggstr√∂m Tim_Johnson Rod_Ortega Christian_Kratzert Ronald_Grauer Tateum_Kohut Carrie_Richardson Alex_Portin Nathan_Blanco_Fouraux Tami_Lane Johanna_Lange Matti_Leshem Fiona_Donovan Sean_Genders Gail_Kane Peter_Beeh Ron_Coe Emily_Pead Paul_O'Hara Anwei_Chen Lee_Maher Joseph_Hart_Green Oliver_Eikhoff Vincent_Liebig No√©mie_Jacques Jos√©_Manuel_Weil Cora_Montalban Brad_Howard Di_Bennett,US,en,2016,Friday,Jun,17054686.46,12,62,1,86.0,13.689175,17000000,6.3,118044
3454,Comedy Family,Paramount_Pictures,Billy_Bob_Thornton Ken_Medlock Aman_Johal Greg_Kinnear Marcia_Gay_Harden Sammi_Kane_Kraft Brandon_Craggs Jeffrey_Davies Tyler_Patrick_Jones Lizz_Carter Nectar_Rose Lisa_Arturo,Richard_Linklater Bill_Lancaster Glenn_Ficarra John_Requa,US,es en,2005,Friday,Jul,25434600.290000003,12,4,2,113.0,4.469459,30000000,5.8,20433
3455,Action Adventure Comedy Science_Fiction,Gramercy_Pictures,Robert_Patrick Mark_Dacascos Scott_Wolf Kristina_Wagner Julia_Nickson Alyssa_Milano Nils_Allen_Stewart Henry_Kingi John_Asher Al_Leong Jeff_Imada Michael_Berryman Vanna_White Andy_Dick,Mayne_Berke Jane_Hamsher Don_Murphy Annette_Benson Michael_Davis James_Yukich Peter_Gould Alan_Schechter Ash_R._Shah Jay_Ferguson Tolga_Katas Gary_B._Kibbe Florent_Retz Harriet_Greenspan Maya_Shimoguchi Kristan_Andrews Fiona_Spence Teri_Blythe Terry_Erickson,US,en fr,1994,Friday,Nov,5659341.74,14,19,2,89.0,5.190767,3500000,3.8,11049
3456,Drama,New_Line_Cinema Ghoulardi_Film_Company The_Magnolia_Project,Julianne_Moore William_H._Macy John_C._Reilly Tom_Cruise Philip_Baker_Hall Philip_Seymour_Hoffman Jason_Robards Alfred_Molina Melora_Walters Michael_Bowen Jeremy_Blackman Emmanuel_Johnson Melinda_Dillon April_Grace Felicity_Huffman Orlando_Jones Ricky_Jay Patton_Oswalt Neil_Flynn Henry_Gibson Miriam_Margolyes Michael_Murphy Genevieve_Zweig Pat_Healy Thomas_Jane Luis_Guzm√°n Clark_Gregg Veronica_Hart Paul_F._Tompkins,Paul_Thomas_Anderson Paul_Thomas_Anderson Paul_Thomas_Anderson Michael_De_Luca Lynn_Harris Daniel_Lupi JoAnne_Sellar Dylan_Tichenor Jon_Brion Aimee_Mann Robert_Elswit Dylan_Tichenor Cassandra_Kulukundis William_Arnold Mark_Bridges Chris_L._Spellman Mark_Bridges Fiona_Apple Peter_Sorel Guy_Norman_Bee Elizabeth_Ziegler Kenny_Schneider Valeria_Migliassi_Collins Dana_Sano Paul_Rabjohns Kelvin_R._Trahan Rita_Troy Craig_Markey Elaine_L._Offers Selina_Jayne Lois_Burwell Webster_Whinery John_Pritchett Michael_Semanick Robert_J._Litt Michael_Herbick Steve_Pederson Richard_King Richard_King Michael_Haight Hugo_Weng James_Matheny Hamilton_Sterling Darlene_Salinas,US,en fr de,1999,Wednesday,Dec,33180589.990000002,29,44,3,188.0,9.091636,37000000,8.0,285741
3457,Western,Constantin_Film_Produktion Produzioni_Europee_Associati_(PEA),Clint_Eastwood Lee_Van_Cleef Gian_Maria_Volont√© Mario_Brega Klaus_Kinski Luigi_Pistilli Aldo_Sambrell Benito_Stefanelli Luis_Rodr√≠guez Panos_Papadopulos Mara_Krupp Josef_Egger Tom√°s_Blanco Roberto_Camardiel Lorenzo_Robledo Sergio_Mendiz√°bal Dante_Maggio Mario_Meniconi Werner_Abrolat Frank_Bra√±a Jos√©_Canalejas Antonio_Molino_Rojo Nazzareno_Natale Rom√°n_Ariznavarreta Sergio_Leone Rosemary_Dexter Peter_Lee_Lawrence Jes√∫s_Guzm√°n Jos√©_Marco Guillermo_M√©ndez Enrique_Navarro Ricardo_Palacios Anto√±ito_Ruiz Carlo_Simi Jos√©_Terr√≥n Kurt_Zips Rafael_L√≥pez Jos√©_F√©lix_Montoya Aldo_Ricci,Ennio_Morricone Sergio_Leone Sergio_Leone Carlo_Simi Carlo_Simi Giovanni_Corridori Benito_Stefanelli Eros_Bacciucchi Fulvio_Morsella Sergio_Donati Massimo_Dallamano Luciano_Vincenzoni Alberto_Grimaldi Eugenio_Alabiso Arturo_Gonz√°lez Adriana_Novelli Giorgio_Serrallonga Amedeo_Alessi Juan_Farsac Oscar_De_Arcangelis Guido_Ortenzi Bruno_Nicolai Fernando_Di_Leo Fernando_Di_Leo Tonino_Valerii Nosher_Powell Aldo_Ricci Alfredo_Fraile Carlo_Leva Fernando_Rossi Norberto_Solino Julio_Ortas Ottavio_Oppo Rafael_Ferri Rick_Lester Manuel_Baquero Rino_Carboni Julio_Sempere Manuel_Castedo Andrea_Gargano,IT ES DE,it,1965,Saturday,Dec,1765129.7100000004,39,40,1,132.0,13.295342000000002,600000,8.3,227889
3458,Horror Comedy,WingNut_Films New_Zealand_Film_Commission Avalon/NFU_Studios,Tim_Balme Diana_Pe√±alver Elizabeth_Moody Ian_Watkin Brenda_Kendall Stephen_Papps Murray_Keane Glenis_Levestam Lewis_Rowe Stuart_Devenie Jed_Brophy Elizabeth_Mulfaxe Harry_Sinclair Angela_Robinson Peter_Jackson Davina_Whitehouse,Peter_Jackson Stephen_Sinclair Fran_Walsh Peter_Jackson Peter_Dasent Murray_Milne Jamie_Selkirk Fran_Walsh Kevin_Leonard-Jones Ed_Mulholand Jim_Booth Chris_Elliott Stephen_Sinclair Jamie_Selkirk Peter_Hassall,NZ,en,1992,Thursday,Aug,4719405.71,16,15,1,104.0,13.645567999999999,3000000,7.5,90382
3459,Action Science_Fiction Adventure,Legendary_Pictures Warner_Bros. Disney_Double_Dare_You_(DDY) Indochina_Productions,Idris_Elba Charlie_Hunnam Charlie_Day Ron_Perlman Burn_Gorman Rinko_Kikuchi Max_Martini Robert_Maillet Robert_Kazinsky Larry_Joe_Campbell Brad_William_Henke Clifton_Collins_Jr Diego_Klattenhoff Santiago_Segura Jane_Watson Jung-Yul_Kim Heather_Doerksen Joshua_Peace Mana_Ashida Joe_Pingue Milton_Barnes Brian_Frank Ellen_McLain David_Fox Jake_Goodman Robin_Thomas Julian_Barnes David_Richmond-Peck Sebastian_Pigott Victoria_Marie J.C._Kenny Robert_Morse Mike_Chute Duncan_McLeod Louis_Paquette Matthew_G._Taylor Frank_Nakashima Terry_Belleville Farzad_Sadrian Mishu_Vellani Clive_Walton Peter_Kosaka Yiren_Stark,Guillermo_del_Toro Travis_Beacham Guillermo_del_Toro Ramin_Djawadi Guillermo_Navarro Peter_Amundson John_Gilroy Andrew_Neskoromny Carol_Spier Kate_Hawley Peter_Nicolakakos Travis_Beacham Guillermo_del_Toro Jon_Jashni Mary_Parent Thomas_Tull Callum_Greene Margery_Simkin Andrew_Li Sandi_Tanaka Richard_L._Johnson Elinor_Rose_Galbraith Brian_N._Bentley Scott_F._Johnston Weicheng_Jiang Yuhon_Ng Erik_Classen,US CA,en,2013,Thursday,Jul,152509194.17999998,43,27,1,131.0,33.949359,180000000,6.9,461080
3460,Drama Horror Mystery Thriller,El_Deseo Televisión_Española_TVE FilmNation_Entertainment Canal+_España Instituto_de_la_Cinematografía_y_de_las_Artes_Audiovisuales_(ICAA) Instituto_de_Crédito_Oficial_(ICO) Blue_Haze_Entertainment,Antonio_Banderas Elena_Anaya Marisa_Paredes Jan_Cornet Roberto_√Ålamo Eduard_Fern√°ndez Jos√©_G√≥mez Blanca_Su√°rez Susi_S√°nchez B√°rbara_Lennie Fernando_Cayo Chema_Ruiz Buika Ana_Mena Teresa_Manresa Fernando_Iglesias Agust√≠n_Almod√≥var Miguel_Almod√≥var Marta_R._Mahou,Esther_Garc√≠a Agust√≠n_Almod√≥var Agust√≠n_Almod√≥var Pedro_Almod√≥var Pedro_Almod√≥var Alberto_Iglesias Antx√≥n_G√≥mez Jos√©_Salcedo Jos√©_Luis_Alcaine Luis_San_Narciso Thierry_Jonquet B√°rbara_Peir√≥,ES,es,2011,Wednesday,Aug,12544557.59,19,12,1,117.0,9.782542,13000000,7.6,135919
3461,Drama,"Becker_International Claraflora EM_Media NorthSee Weinstein_Company,_The",Sam_Riley Samantha_Morton Alexandra_Maria_Lara Joe_Anderson James_Anthony_Pearson Toby_Kebbell Craig_Parkinson Harry_Treadaway Matthew_McNulty Andrew_Sheridan Robert_Shelly Richard_Bremmer Tanya_Myers Tanya_Myers Martha_Myers_Lowe Mary_Jo_Randle Ben_Naylor Margaret_Jackman John_Cooper_Clarke George_Newton David_Whittington Angus_Addenbrooke Nicola_Harrison June_Alliss Tim_Plester Herbert_Gr√∂nemeyer Laura_Chambers Joseph_Marshall Monica_Axelsson Lotti_Closs Joanna_Swain Eady_Williams,Martin_Ruhe Iain_Canning Anton_Corbijn Anton_Corbijn Matt_Greenhalgh Orian_Williams Andrew_Hulme Ian_Neil Chris_Roope Julian_Day,JP GB US AU,en,2007,Wednesday,Sep,5499242.569999999,32,10,1,121.0,8.009689999999999,0,7.7,60859
3462,Science_Fiction,Tokyo_Broadcasting_System_(TBS) Mainichi_Broadcasting_System_(MBS) Sedic Tokyo_FM_Broadcasting_Co. Hokkaido_Broadcasting_Co. Sedic_International Shogakukan Hakuhodo_DY_Media_Partners Abe_Shuji Chubu-nippon_Broadcasting_Company_(CBC) RKB_Mainichi_Broadcasting_Corporation Robot_Communications Tohokushinsha_Film,Hiroyuki_Ikeuchi Takuya_Kimura Meisa_Kuroki Toshir≈ç_Yanagiba Tsutomu_Yamazaki Kazuki_Namioka Naoto_Ogata Shinichi_Tsutsumi Maiko Reiko_Takashima Toshiyuki_Nishida Toshihiro_Yashiba Takumi_Saito Takahiro_Miura Kensuke_Ohwada Kana_Harada Mae_Otsuka,Takashi_Yamazaki K√¥z√¥_Shibasaki Toshiaki_Nakazawa Toshiaki_Nakazawa Leiji_Matsumoto Ryuji_Miyajima Kazuya_Hamana Yoshinobu_Nishizaki Shimako_Sato Anri_Johjo Naoki_Sat√¥,JP,ja,2010,Wednesday,Dec,19613939.650000002,17,11,1,131.0,5.23198,12000000,6.1,5800
